zone,latitude,longitude,hour,weather,day_type,road_type,severity,risk_score,vehicles_involved,year,month
Mumbai - Eastern Express Hwy,19.081403,72.876639,18,Clear,Weekday,Highway,Minor,0.543,3,2023,3
Mumbai - Eastern Express Hwy,19.097102,72.884846,18,Clear,Weekend,Junction,Minor,0.475,1,2023,10
Mumbai - Eastern Express Hwy,19.083782,72.878643,13,Overcast,Weekday,Junction,Minor,0.447,1,2024,5
Mumbai - Eastern Express Hwy,19.070989,72.881653,15,Clear,Weekday,Urban Road,Fatal,0.366,3,2024,4
Mumbai - Eastern Express Hwy,19.069594,72.867585,6,Fog,Weekday,Urban Road,Minor,0.317,1,2021,2
Mumbai - Eastern Express Hwy,19.078796,72.871356,21,Rain,Weekday,Urban Road,Fatal,0.516,2,2021,6
Mumbai - Eastern Express Hwy,19.075956,72.887128,14,Clear,Weekday,Highway,Fatal,0.454,4,2021,9
Mumbai - Eastern Express Hwy,19.059201,72.872901,9,Clear,Weekday,Highway,Serious,0.549,4,2021,5
Mumbai - Eastern Express Hwy,19.052764,72.882431,8,Clear,Weekday,Highway,Serious,0.595,2,2024,11
Mumbai - Eastern Express Hwy,19.080605,72.869869,17,Rain,Weekend,Highway,Minor,0.611,3,2023,9
Mumbai - Eastern Express Hwy,19.082076,72.875366,20,Clear,Weekend,Flyover,Minor,0.365,4,2024,9
Mumbai - Eastern Express Hwy,19.074043,72.875519,20,Clear,Weekday,Highway,Minor,0.402,3,2021,12
Mumbai - Eastern Express Hwy,19.076977,72.889834,22,Rain,Weekday,Junction,Minor,0.652,4,2022,1
Mumbai - Eastern Express Hwy,19.077486,72.889773,8,Rain,Weekend,Urban Road,Minor,0.517,2,2022,12
Mumbai - Eastern Express Hwy,19.069948,72.880514,17,Fog,Weekday,Highway,Fatal,0.67,1,2024,1
Mumbai - Eastern Express Hwy,19.065075,72.869907,16,Clear,Weekday,Highway,Minor,0.399,3,2021,8
Mumbai - Eastern Express Hwy,19.068901,72.888579,20,Fog,Weekday,Urban Road,Minor,0.495,4,2024,9
Mumbai - Eastern Express Hwy,19.074648,72.863931,18,Fog,Weekend,Urban Road,Serious,0.56,3,2023,10
Mumbai - Eastern Express Hwy,19.085123,72.897691,12,Clear,Weekend,Junction,Fatal,0.394,2,2021,9
Mumbai - Eastern Express Hwy,19.077535,72.893287,18,Rain,Weekday,Urban Road,Minor,0.587,2,2023,8
Mumbai - Eastern Express Hwy,19.072402,72.878927,2,Clear,Weekday,Junction,Minor,0.631,4,2021,12
Mumbai - Eastern Express Hwy,19.080654,72.874419,7,Overcast,Weekend,Urban Road,Minor,0.532,4,2021,8
Mumbai - Eastern Express Hwy,19.07062,72.879486,15,Rain,Weekday,Urban Road,Minor,0.434,2,2023,10
Mumbai - Eastern Express Hwy,19.097052,72.894206,9,Clear,Weekend,Highway,Minor,0.522,4,2023,5
Mumbai - Eastern Express Hwy,19.07114,72.874465,17,Fog,Weekend,Urban Road,Minor,0.595,1,2023,6
Mumbai - Eastern Express Hwy,19.076956,72.875917,11,Fog,Weekend,Urban Road,Minor,0.496,3,2024,3
Mumbai - Eastern Express Hwy,19.072296,72.866562,18,Rain,Weekday,Flyover,Minor,0.572,2,2022,2
Mumbai - Western Express Hwy,19.10749,72.873898,6,Rain,Weekend,Urban Road,Minor,0.478,3,2023,2
Mumbai - Western Express Hwy,19.119813,72.869251,19,Rain,Weekday,Highway,Minor,0.691,2,2022,12
Mumbai - Western Express Hwy,19.117844,72.876387,11,Overcast,Weekday,Junction,Fatal,0.528,3,2024,10
Mumbai - Western Express Hwy,19.099351,72.851856,9,Clear,Weekday,Highway,Serious,0.608,1,2022,6
Mumbai - Western Express Hwy,19.097441,72.860137,18,Clear,Weekday,Highway,Fatal,0.519,4,2023,6
Mumbai - Western Express Hwy,19.118374,72.853511,19,Rain,Weekday,Junction,Minor,0.698,3,2022,10
Mumbai - Western Express Hwy,19.118126,72.870278,18,Rain,Weekend,Highway,Minor,0.609,4,2022,5
Mumbai - Western Express Hwy,19.119577,72.880889,10,Clear,Weekday,Highway,Minor,0.383,4,2024,7
Mumbai - Western Express Hwy,19.10728,72.864158,17,Fog,Weekday,Highway,Serious,0.709,2,2024,9
Mumbai - Western Express Hwy,19.120366,72.873813,6,Fog,Weekday,Urban Road,Serious,0.486,4,2022,5
Mumbai - Western Express Hwy,19.108532,72.864095,13,Overcast,Weekday,Highway,Minor,0.488,4,2024,10
Mumbai - Western Express Hwy,19.118919,72.86358,13,Clear,Weekend,Flyover,Minor,0.43,3,2022,9
Mumbai - Western Express Hwy,19.111268,72.867969,10,Fog,Weekday,Junction,Fatal,0.473,4,2023,2
Mumbai - Western Express Hwy,19.104104,72.878163,21,Clear,Weekend,Urban Road,Fatal,0.39,4,2023,6
Mumbai - Western Express Hwy,19.09582,72.875482,10,Rain,Weekday,Urban Road,Minor,0.367,4,2024,4
Mumbai - Western Express Hwy,19.123041,72.878854,21,Fog,Weekday,Urban Road,Minor,0.501,3,2023,7
Mumbai - Western Express Hwy,19.106567,72.885257,6,Clear,Weekday,Urban Road,Minor,0.284,2,2023,10
Mumbai - Western Express Hwy,19.125788,72.858768,8,Rain,Weekday,Junction,Fatal,0.619,3,2022,7
Mumbai - Western Express Hwy,19.131946,72.86672,6,Rain,Weekday,Urban Road,Fatal,0.412,1,2021,2
Mumbai - Western Express Hwy,19.105555,72.872581,18,Clear,Weekend,Highway,Minor,0.587,4,2023,11
Mumbai - Western Express Hwy,19.117074,72.864209,17,Clear,Weekday,Highway,Minor,0.544,2,2021,12
Mumbai - Western Express Hwy,19.109543,72.868259,8,Clear,Weekend,Urban Road,Fatal,0.454,1,2022,3
Mumbai - Western Express Hwy,19.128164,72.865169,6,Clear,Weekend,Urban Road,Minor,0.317,1,2022,9
Mumbai - Western Express Hwy,19.10774,72.869474,17,Rain,Weekend,Highway,Minor,0.658,2,2024,8
Mumbai - Western Express Hwy,19.11368,72.880463,7,Clear,Weekday,Highway,Minor,0.563,1,2022,11
Mumbai - Western Express Hwy,19.111187,72.870349,11,Fog,Weekend,Urban Road,Minor,0.471,4,2022,5
Mumbai - Western Express Hwy,19.109501,72.870147,8,Clear,Weekend,Highway,Minor,0.628,2,2023,2
Mumbai - Western Express Hwy,19.118974,72.865119,0,Clear,Weekend,Urban Road,Serious,0.501,2,2024,12
Mumbai - Western Express Hwy,19.114082,72.867398,10,Clear,Weekday,Urban Road,Serious,0.343,2,2024,7
Mumbai - Western Express Hwy,19.126244,72.875128,14,Clear,Weekday,Highway,Serious,0.443,4,2022,1
Mumbai - Western Express Hwy,19.118054,72.8611,13,Clear,Weekend,Highway,Fatal,0.547,3,2024,2
Mumbai - Western Express Hwy,19.122943,72.868861,21,Clear,Weekday,Highway,Minor,0.442,2,2023,10
Mumbai - Western Express Hwy,19.100549,72.873542,12,Clear,Weekday,Flyover,Serious,0.429,3,2021,4
Mumbai - Western Express Hwy,19.104207,72.863391,18,Rain,Weekday,Junction,Minor,0.583,4,2024,3
Mumbai - Western Express Hwy,19.118777,72.872183,14,Overcast,Weekend,Junction,Serious,0.466,3,2022,8
Mumbai - Western Express Hwy,19.117681,72.879881,0,Rain,Weekend,Highway,Minor,0.606,1,2021,3
Mumbai - Western Express Hwy,19.114192,72.865288,16,Fog,Weekday,Highway,Minor,0.532,4,2021,1
Mumbai - Western Express Hwy,19.11813,72.865259,21,Clear,Weekend,Junction,Serious,0.457,2,2021,9
Mumbai - Western Express Hwy,19.10134,72.869916,21,Clear,Weekday,Urban Road,Fatal,0.342,3,2023,9
Mumbai - Western Express Hwy,19.11381,72.867271,1,Rain,Weekend,Urban Road,Serious,0.594,1,2024,6
Mumbai - Western Express Hwy,19.12417,72.866832,17,Clear,Weekend,Highway,Minor,0.564,4,2021,9
Mumbai - Western Express Hwy,19.117751,72.873666,22,Clear,Weekday,Urban Road,Minor,0.538,1,2024,5
Mumbai - Western Express Hwy,19.106988,72.874377,13,Rain,Weekday,Urban Road,Minor,0.428,1,2024,2
Mumbai - Western Express Hwy,19.111411,72.86579,1,Rain,Weekend,Junction,Serious,0.637,4,2021,10
Mumbai - Western Express Hwy,19.111578,72.877935,20,Clear,Weekend,Urban Road,Minor,0.317,2,2023,1
Mumbai - Western Express Hwy,19.133439,72.87658,6,Clear,Weekday,Urban Road,Minor,0.416,1,2023,8
Mumbai - Western Express Hwy,19.09686,72.857658,13,Clear,Weekend,Junction,Minor,0.451,3,2024,5
Mumbai - Western Express Hwy,19.108904,72.873669,14,Rain,Weekend,Junction,Minor,0.537,2,2023,1
Mumbai - Western Express Hwy,19.113141,72.858536,3,Clear,Weekday,Urban Road,Minor,0.401,1,2022,8
Mumbai - Western Express Hwy,19.098886,72.868963,9,Rain,Weekday,Urban Road,Minor,0.521,3,2021,5
Mumbai - Western Express Hwy,19.120538,72.862182,8,Rain,Weekday,Junction,Minor,0.619,3,2021,10
Mumbai - Western Express Hwy,19.126187,72.874165,9,Clear,Weekday,Highway,Minor,0.614,3,2024,4
Mumbai - Western Express Hwy,19.104109,72.874403,14,Clear,Weekday,Urban Road,Fatal,0.419,4,2022,7
Mumbai - Western Express Hwy,19.108765,72.861795,6,Rain,Weekday,Highway,Serious,0.527,4,2023,4
Mumbai - Western Express Hwy,19.111304,72.872068,12,Overcast,Weekday,Junction,Minor,0.435,3,2022,2
Mumbai - Western Express Hwy,19.117969,72.863352,2,Clear,Weekend,Highway,Serious,0.596,4,2024,11
Mumbai - Western Express Hwy,19.106991,72.864204,3,Rain,Weekend,Highway,Serious,0.472,4,2024,8
Mumbai - Western Express Hwy,19.109326,72.870907,12,Overcast,Weekday,Highway,Minor,0.388,3,2023,2
Mumbai - Western Express Hwy,19.127961,72.861719,20,Clear,Weekend,Urban Road,Minor,0.379,2,2024,1
Mumbai - Western Express Hwy,19.113429,72.869473,1,Clear,Weekday,Highway,Minor,0.576,4,2023,11
Mumbai - Western Express Hwy,19.121373,72.876631,16,Clear,Weekend,Highway,Fatal,0.439,2,2024,11
Mumbai - Western Express Hwy,19.100092,72.86074,10,Clear,Weekday,Urban Road,Minor,0.338,1,2021,1
Mumbai - Western Express Hwy,19.099723,72.865979,9,Clear,Weekday,Highway,Serious,0.497,3,2022,5
Mumbai - Western Express Hwy,19.114501,72.876553,7,Overcast,Weekend,Urban Road,Serious,0.576,3,2023,10
Mumbai - Western Express Hwy,19.118807,72.875497,22,Clear,Weekday,Urban Road,Minor,0.46,1,2024,3
Mumbai - Western Express Hwy,19.103276,72.868554,16,Clear,Weekend,Urban Road,Minor,0.332,4,2023,8
Mumbai - Western Express Hwy,19.092332,72.868361,6,Clear,Weekday,Junction,Serious,0.553,4,2022,12
Mumbai - Western Express Hwy,19.131244,72.879295,23,Clear,Weekday,Urban Road,Minor,0.448,3,2024,5
Mumbai - Western Express Hwy,19.113719,72.861651,16,Rain,Weekend,Urban Road,Serious,0.4,4,2021,1
Mumbai - Western Express Hwy,19.112613,72.872172,12,Overcast,Weekday,Highway,Minor,0.351,4,2022,9
Mumbai - Western Express Hwy,19.116917,72.871057,9,Rain,Weekday,Urban Road,Minor,0.503,4,2024,2
Mumbai - Western Express Hwy,19.106188,72.862019,14,Fog,Weekday,Urban Road,Serious,0.618,4,2021,5
Mumbai - Western Express Hwy,19.107462,72.885075,9,Clear,Weekday,Urban Road,Minor,0.489,1,2023,11
Mumbai - Western Express Hwy,19.100556,72.870142,13,Clear,Weekday,Urban Road,Minor,0.343,3,2024,8
Mumbai - Western Express Hwy,19.125024,72.873625,12,Rain,Weekend,Urban Road,Minor,0.492,3,2022,11
Mumbai - Western Express Hwy,19.116922,72.865471,17,Clear,Weekend,Highway,Minor,0.579,2,2024,10
Mumbai - Western Express Hwy,19.111917,72.849928,14,Clear,Weekend,Urban Road,Minor,0.296,4,2024,11
Mumbai - Western Express Hwy,19.117033,72.859784,16,Clear,Weekday,Junction,Serious,0.372,2,2023,9
Mumbai - Western Express Hwy,19.132755,72.887181,3,Rain,Weekend,Flyover,Serious,0.492,3,2022,7
Mumbai - Western Express Hwy,19.113483,72.855288,9,Rain,Weekday,Urban Road,Serious,0.522,4,2024,7
Mumbai - Western Express Hwy,19.116019,72.866228,21,Clear,Weekday,Junction,Serious,0.461,2,2021,9
Mumbai - Western Express Hwy,19.119193,72.866961,18,Clear,Weekday,Highway,Minor,0.557,4,2021,7
Mumbai - Western Express Hwy,19.100594,72.863521,18,Clear,Weekend,Urban Road,Minor,0.474,2,2024,6
Mumbai - Western Express Hwy,19.104692,72.881877,18,Clear,Weekday,Highway,Serious,0.6,2,2023,6
Mumbai - Western Express Hwy,19.113929,72.863816,9,Clear,Weekend,Highway,Serious,0.581,2,2024,2
Mumbai - Western Express Hwy,19.114612,72.867698,4,Clear,Weekday,Urban Road,Serious,0.375,3,2022,4
Mumbai - Western Express Hwy,19.114145,72.87793,10,Clear,Weekday,Junction,Minor,0.418,2,2022,11
Mumbai - Western Express Hwy,19.120351,72.877105,14,Rain,Weekend,Urban Road,Minor,0.461,3,2022,5
Mumbai - Western Express Hwy,19.098412,72.875692,16,Clear,Weekday,Urban Road,Fatal,0.314,2,2023,7
Mumbai - Western Express Hwy,19.119113,72.864231,8,Overcast,Weekday,Urban Road,Minor,0.593,2,2023,1
Mumbai - Western Express Hwy,19.117292,72.874625,23,Fog,Weekday,Urban Road,Minor,0.531,4,2024,1
Mumbai - Western Express Hwy,19.110043,72.865235,19,Rain,Weekday,Highway,Serious,0.605,3,2021,2
Mumbai - Western Express Hwy,19.108315,72.866501,22,Rain,Weekend,Urban Road,Serious,0.565,3,2024,6
Mumbai - Western Express Hwy,19.131807,72.862882,0,Clear,Weekday,Urban Road,Serious,0.543,2,2022,1
Mumbai - Western Express Hwy,19.11969,72.876568,15,Clear,Weekday,Flyover,Serious,0.339,1,2021,5
Mumbai - Western Express Hwy,19.105664,72.86527,15,Clear,Weekend,Urban Road,Minor,0.418,3,2022,5
Mumbai - Western Express Hwy,19.126567,72.859641,8,Fog,Weekday,Urban Road,Minor,0.612,1,2021,8
Mumbai - Western Express Hwy,19.110648,72.87141,9,Clear,Weekday,Junction,Fatal,0.567,2,2022,1
Mumbai - Western Express Hwy,19.101421,72.873185,13,Clear,Weekday,Junction,Minor,0.411,4,2023,12
Mumbai - Western Express Hwy,19.122879,72.865652,8,Overcast,Weekday,Urban Road,Serious,0.547,1,2022,10
Mumbai - Western Express Hwy,19.107418,72.871006,9,Fog,Weekend,Junction,Minor,0.686,2,2022,9
Mumbai - Western Express Hwy,19.110352,72.849326,8,Clear,Weekday,Urban Road,Minor,0.475,2,2021,12
Mumbai - Western Express Hwy,19.111584,72.875748,22,Clear,Weekday,Highway,Serious,0.641,1,2022,8
Mumbai - Western Express Hwy,19.119607,72.874935,10,Overcast,Weekday,Highway,Minor,0.46,3,2022,3
Mumbai - Western Express Hwy,19.121116,72.867463,6,Clear,Weekday,Urban Road,Minor,0.368,1,2024,2
Mumbai - Western Express Hwy,19.118496,72.855895,8,Clear,Weekday,Highway,Minor,0.488,1,2023,2
Mumbai - Western Express Hwy,19.109864,72.876744,11,Rain,Weekday,Highway,Fatal,0.561,4,2021,11
Mumbai - Western Express Hwy,19.123926,72.890403,5,Clear,Weekend,Urban Road,Minor,0.31,2,2021,1
Mumbai - Western Express Hwy,19.104311,72.874541,18,Clear,Weekday,Urban Road,Minor,0.548,2,2022,12
Mumbai - Western Express Hwy,19.122567,72.865506,17,Fog,Weekday,Urban Road,Serious,0.566,2,2021,8
Mumbai - Western Express Hwy,19.119671,72.875271,18,Clear,Weekday,Urban Road,Serious,0.5,4,2021,9
Mumbai - Western Express Hwy,19.105506,72.876184,12,Clear,Weekday,Highway,Minor,0.45,4,2021,1
Mumbai - Western Express Hwy,19.114855,72.868374,20,Fog,Weekend,Highway,Serious,0.592,3,2021,10
Mumbai - Western Express Hwy,19.122274,72.871382,10,Clear,Weekday,Junction,Minor,0.456,1,2022,1
Mumbai - Western Express Hwy,19.10548,72.860004,20,Clear,Weekend,Flyover,Serious,0.398,4,2021,11
Mumbai - Western Express Hwy,19.111224,72.867293,19,Rain,Weekend,Highway,Minor,0.632,3,2022,9
Mumbai - Western Express Hwy,19.098843,72.879696,14,Rain,Weekday,Urban Road,Minor,0.441,2,2022,5
Mumbai - Western Express Hwy,19.097609,72.869972,13,Overcast,Weekday,Urban Road,Minor,0.417,1,2024,10
Mumbai - Western Express Hwy,19.11071,72.872252,18,Overcast,Weekend,Urban Road,Minor,0.475,3,2021,12
Mumbai - Western Express Hwy,19.111711,72.867079,22,Clear,Weekday,Urban Road,Minor,0.483,3,2021,11
Mumbai - Western Express Hwy,19.110247,72.870015,18,Fog,Weekend,Junction,Serious,0.684,1,2024,4
Mumbai - Western Express Hwy,19.11847,72.865243,21,Fog,Weekday,Urban Road,Minor,0.546,2,2024,10
Mumbai - Western Express Hwy,19.112094,72.859445,7,Overcast,Weekday,Junction,Minor,0.619,2,2023,11
Mumbai - Western Express Hwy,19.110759,72.859303,7,Overcast,Weekend,Highway,Minor,0.496,4,2021,6
Mumbai - Western Express Hwy,19.120025,72.871617,5,Clear,Weekend,Junction,Serious,0.385,2,2024,6
Mumbai - Western Express Hwy,19.104461,72.860965,20,Fog,Weekday,Highway,Serious,0.573,1,2024,3
Mumbai - Western Express Hwy,19.112875,72.884784,12,Rain,Weekday,Highway,Minor,0.429,1,2021,1
Mumbai - Western Express Hwy,19.109037,72.860267,8,Clear,Weekday,Junction,Fatal,0.569,4,2023,2
Mumbai - Western Express Hwy,19.113257,72.871192,17,Clear,Weekday,Junction,Serious,0.526,2,2022,9
Mumbai - Western Express Hwy,19.116949,72.872576,8,Clear,Weekday,Urban Road,Minor,0.484,2,2022,5
Mumbai - Western Express Hwy,19.122834,72.862264,5,Clear,Weekend,Urban Road,Minor,0.415,2,2024,11
Mumbai - Western Express Hwy,19.124304,72.877761,8,Rain,Weekday,Highway,Minor,0.62,4,2022,6
Mumbai - Western Express Hwy,19.108798,72.880694,17,Clear,Weekday,Highway,Minor,0.561,1,2022,9
Mumbai - Western Express Hwy,19.110613,72.865698,20,Rain,Weekday,Urban Road,Serious,0.405,3,2023,2
Mumbai - Western Express Hwy,19.127952,72.862662,8,Overcast,Weekday,Urban Road,Serious,0.461,1,2023,6
Mumbai - Western Express Hwy,19.110312,72.877873,11,Overcast,Weekday,Highway,Minor,0.383,2,2023,7
Mumbai - Western Express Hwy,19.109421,72.857566,6,Clear,Weekday,Urban Road,Serious,0.334,4,2021,3
Mumbai - Western Express Hwy,19.108558,72.855636,8,Clear,Weekend,Junction,Serious,0.513,1,2024,6
Mumbai - Western Express Hwy,19.119428,72.874801,2,Overcast,Weekday,Highway,Minor,0.603,1,2023,1
Mumbai - Western Express Hwy,19.118513,72.851663,3,Clear,Weekend,Junction,Minor,0.469,1,2023,12
Mumbai - Western Express Hwy,19.106802,72.876147,17,Clear,Weekday,Highway,Serious,0.594,1,2024,7
Mumbai - Western Express Hwy,19.103741,72.87732,13,Clear,Weekend,Urban Road,Minor,0.355,4,2022,9
Mumbai - Western Express Hwy,19.118748,72.871025,13,Fog,Weekend,Flyover,Minor,0.475,1,2022,2
Mumbai - Western Express Hwy,19.122038,72.869412,21,Clear,Weekend,Highway,Minor,0.566,1,2021,3
Mumbai - Western Express Hwy,19.123474,72.867058,13,Clear,Weekday,Junction,Minor,0.35,3,2024,8
Mumbai - Western Express Hwy,19.111013,72.869816,12,Clear,Weekday,Highway,Fatal,0.435,3,2024,5
Mumbai - Western Express Hwy,19.123336,72.866645,13,Clear,Weekday,Urban Road,Serious,0.334,4,2022,12
Mumbai - Western Express Hwy,19.113541,72.871315,3,Rain,Weekday,Highway,Minor,0.571,4,2024,1
Mumbai - Western Express Hwy,19.111387,72.870607,7,Clear,Weekday,Junction,Minor,0.596,4,2023,7
Mumbai - Western Express Hwy,19.112248,72.875849,2,Clear,Weekend,Urban Road,Serious,0.539,3,2021,4
Mumbai - Western Express Hwy,19.110538,72.881714,18,Clear,Weekday,Highway,Serious,0.57,3,2022,10
Mumbai - Western Express Hwy,19.111037,72.855465,13,Clear,Weekday,Highway,Fatal,0.434,2,2022,7
Mumbai - Western Express Hwy,19.119535,72.866641,18,Clear,Weekend,Highway,Fatal,0.599,3,2024,2
Mumbai - Western Express Hwy,19.124267,72.874355,21,Rain,Weekend,Highway,Minor,0.601,1,2024,5
Mumbai - Western Express Hwy,19.099656,72.864839,20,Clear,Weekend,Urban Road,Minor,0.414,4,2021,7
Mumbai - Western Express Hwy,19.117492,72.867547,12,Rain,Weekday,Highway,Serious,0.574,3,2024,3
Mumbai - Western Express Hwy,19.118871,72.857004,11,Rain,Weekday,Urban Road,Fatal,0.401,4,2021,11
Mumbai - Western Express Hwy,19.133579,72.870068,18,Clear,Weekend,Urban Road,Minor,0.496,3,2023,9
Mumbai - Western Express Hwy,19.101421,72.876936,18,Rain,Weekend,Junction,Minor,0.626,3,2022,7
Mumbai - Western Express Hwy,19.099868,72.858727,14,Clear,Weekend,Highway,Minor,0.391,2,2023,8
Mumbai - Western Express Hwy,19.113964,72.881959,20,Fog,Weekday,Junction,Serious,0.578,2,2022,12
Mumbai - Western Express Hwy,19.113396,72.867963,22,Fog,Weekday,Junction,Minor,0.581,4,2022,9
Mumbai - Western Express Hwy,19.120208,72.8918,20,Clear,Weekday,Urban Road,Minor,0.457,1,2024,4
Mumbai - Western Express Hwy,19.10858,72.870284,20,Overcast,Weekday,Junction,Minor,0.398,3,2022,5
Mumbai - Western Express Hwy,19.103882,72.852034,12,Clear,Weekday,Urban Road,Minor,0.354,1,2022,4
Mumbai - Western Express Hwy,19.125672,72.866567,7,Clear,Weekday,Highway,Serious,0.544,1,2023,1
Mumbai - Western Express Hwy,19.115842,72.870624,15,Clear,Weekday,Urban Road,Minor,0.53,1,2024,5
Mumbai - Western Express Hwy,19.115938,72.875741,22,Clear,Weekday,Urban Road,Serious,0.513,3,2021,2
Mumbai - Western Express Hwy,19.120426,72.869935,16,Clear,Weekday,Highway,Serious,0.41,4,2023,7
Mumbai - Western Express Hwy,19.120045,72.866557,0,Rain,Weekend,Urban Road,Minor,0.602,4,2021,9
Pune - Pune-Mumbai Hwy,18.509977,73.860317,17,Clear,Weekday,Highway,Serious,0.603,1,2023,5
Pune - Pune-Mumbai Hwy,18.530717,73.856984,6,Overcast,Weekend,Junction,Minor,0.49,3,2023,1
Pune - Pune-Mumbai Hwy,18.523946,73.856662,14,Clear,Weekday,Urban Road,Serious,0.399,4,2021,10
Pune - Pune-Mumbai Hwy,18.514185,73.849529,6,Rain,Weekday,Urban Road,Serious,0.438,4,2024,11
Pune - Pune-Mumbai Hwy,18.531936,73.858452,19,Clear,Weekday,Urban Road,Serious,0.583,1,2021,7
Pune - Pune-Mumbai Hwy,18.53266,73.856781,7,Clear,Weekday,Urban Road,Serious,0.486,1,2023,2
Pune - Pune-Mumbai Hwy,18.51283,73.842584,17,Clear,Weekday,Flyover,Minor,0.641,3,2024,3
Pune - Pune-Mumbai Hwy,18.51956,73.847213,7,Clear,Weekday,Highway,Serious,0.603,2,2021,11
Pune - Pune-Mumbai Hwy,18.503408,73.862468,8,Rain,Weekend,Highway,Serious,0.573,1,2024,2
Pune - Pune-Mumbai Hwy,18.50977,73.854787,20,Clear,Weekday,Highway,Serious,0.441,4,2021,4
Pune - Pune-Mumbai Hwy,18.528085,73.845698,13,Clear,Weekday,Highway,Serious,0.406,3,2023,12
Pune - Pune-Mumbai Hwy,18.521256,73.857981,19,Clear,Weekend,Highway,Minor,0.579,1,2022,2
Pune - Pune-Mumbai Hwy,18.52297,73.837471,17,Clear,Weekday,Urban Road,Minor,0.487,3,2022,8
Pune - Pune-Mumbai Hwy,18.523169,73.865323,13,Clear,Weekday,Flyover,Fatal,0.498,3,2022,12
Pune - Pune-Mumbai Hwy,18.516133,73.836717,11,Clear,Weekend,Urban Road,Serious,0.459,1,2024,10
Pune - Pune-Mumbai Hwy,18.51726,73.85839,7,Clear,Weekday,Highway,Minor,0.604,1,2024,1
Pune - Pune-Mumbai Hwy,18.526768,73.852423,20,Fog,Weekend,Junction,Fatal,0.609,4,2024,5
Pune - Pune-Mumbai Hwy,18.521705,73.8482,5,Fog,Weekday,Urban Road,Minor,0.469,2,2021,4
Pune - Pune-Mumbai Hwy,18.52034,73.856156,9,Fog,Weekday,Highway,Minor,0.716,3,2024,10
Pune - Pune-Mumbai Hwy,18.533788,73.860234,8,Rain,Weekday,Urban Road,Minor,0.666,2,2021,3
Pune - Pune-Mumbai Hwy,18.517352,73.855536,18,Clear,Weekend,Urban Road,Minor,0.583,4,2024,5
Pune - Pune-Mumbai Hwy,18.521475,73.851514,18,Clear,Weekday,Urban Road,Minor,0.47,2,2021,10
Pune - Pune-Mumbai Hwy,18.513024,73.866041,22,Clear,Weekday,Junction,Serious,0.636,1,2023,5
Pune - Pune-Mumbai Hwy,18.527209,73.866491,12,Clear,Weekday,Urban Road,Serious,0.408,4,2023,1
Pune - Pune-Mumbai Hwy,18.522445,73.857782,9,Clear,Weekday,Junction,Minor,0.586,1,2022,4
Pune - Pune-Mumbai Hwy,18.521154,73.848409,15,Rain,Weekend,Urban Road,Serious,0.493,1,2021,8
Pune - Pune-Mumbai Hwy,18.529788,73.862815,8,Fog,Weekday,Urban Road,Fatal,0.604,3,2024,3
Pune - Pune-Mumbai Hwy,18.524144,73.847338,7,Rain,Weekend,Highway,Serious,0.604,2,2021,7
Pune - Pune-Mumbai Hwy,18.517408,73.851651,16,Clear,Weekend,Junction,Minor,0.494,3,2023,1
Pune - Pune-Mumbai Hwy,18.519797,73.869972,14,Rain,Weekend,Urban Road,Fatal,0.482,1,2024,2
Pune - Pune-Mumbai Hwy,18.511941,73.855628,20,Fog,Weekend,Junction,Minor,0.596,1,2021,6
Pune - Pune-Mumbai Hwy,18.526962,73.863238,17,Clear,Weekday,Highway,Serious,0.567,4,2021,9
Pune - Pune-Mumbai Hwy,18.513512,73.867717,17,Clear,Weekday,Junction,Minor,0.541,4,2021,8
Pune - Pune-Mumbai Hwy,18.520795,73.86248,14,Clear,Weekday,Urban Road,Fatal,0.459,3,2023,8
Pune - Pune-Mumbai Hwy,18.533847,73.851545,18,Clear,Weekday,Highway,Serious,0.615,3,2024,11
Pune - Pune-Mumbai Hwy,18.526311,73.866943,21,Rain,Weekday,Urban Road,Minor,0.489,2,2024,4
Pune - Pune-Mumbai Hwy,18.515291,73.843114,19,Clear,Weekday,Urban Road,Minor,0.514,2,2024,5
Pune - Pune-Mumbai Hwy,18.51069,73.853912,7,Rain,Weekday,Urban Road,Minor,0.564,4,2022,2
Pune - Pune-Mumbai Hwy,18.5211,73.858564,7,Clear,Weekday,Junction,Minor,0.551,1,2022,11
Pune - Pune-Mumbai Hwy,18.512868,73.839983,18,Rain,Weekday,Urban Road,Minor,0.552,4,2024,2
Pune - Pune-Mumbai Hwy,18.526863,73.858655,21,Clear,Weekday,Junction,Serious,0.623,2,2022,2
Pune - Pune-Mumbai Hwy,18.529774,73.868685,8,Rain,Weekday,Urban Road,Serious,0.592,4,2022,7
Pune - Pune-Mumbai Hwy,18.518668,73.862716,19,Rain,Weekday,Urban Road,Serious,0.611,1,2023,3
Pune - Pune-Mumbai Hwy,18.512361,73.848395,12,Overcast,Weekday,Highway,Serious,0.447,3,2023,6
Pune - Pune-Mumbai Hwy,18.521654,73.853215,13,Rain,Weekday,Highway,Fatal,0.561,2,2023,9
Pune - Pune-Mumbai Hwy,18.514661,73.853943,8,Clear,Weekday,Highway,Fatal,0.57,1,2023,12
Pune - Pune-Mumbai Hwy,18.539452,73.839544,8,Clear,Weekend,Highway,Minor,0.569,3,2024,2
Pune - Pune-Mumbai Hwy,18.533036,73.851806,21,Overcast,Weekday,Urban Road,Minor,0.396,1,2023,12
